Rank,Title,Runtime,Genre,Rating,Director,Lead,Votes,Budget,Sequel,Rounded
498,Little Miss Sunshine,101,Comedy,7.8,Jonathan Dayton,Steve Carell,172,8000000,0,8
499,The Harder They Fall,139,Action,6.6,Jeymes Samuel,Jonathan Majors,202,90000000,0,7
500,Mother!,121,Drama,6.6,Darren Aronofsky,Jennifer Lawrence,73,30000000,0,7
501,Nightcrawler,117,Crime,7.8,Dan Gilroy,Jake Gyllenhaal,"558,463",8500000,0,8
502,Kick-Ass,117,Action,7.6,Matthew Vaughn,Aaron Taylor-Johnson,"569,321",30000000,0,8
503,Bohemian Rhapsody,134,Biography,7.9,Bryan Singer,Rami Malek,"546,786",50000000,0,8
504,The Girl Next Door,91,Crime,6.5,Gregory Wilson,William Atherton,"27,219",,0,7
505,Den of Thieves,140,Action,7,Christian Gudegast,Gerard Butler,"115,386",30000000,0,7
506,The Ballad of Buster Scruggs,133,Comedy,7.3,Ethan Coen,Tim Blake Nelson,"152,264",,0,7
507,Scream 4,111,Comedy,6.2,Wes Craven,Neve Campbell,"153,700",40000000,1,6
508,Pan's Labyrinth,118,Drama,8.2,Guillermo del Toro,Ivana Baquero,"674,665",19000000,0,8
509,The Nice Guys,116,Action,7.3,Shane Black,Russell Crowe,"335,536",50000000,0,7
510,Underwater,95,Action,5.8,William Eubank,Kristen Stewart,"85,750",80000000,0,6
511,Aladdin,128,Adventure,6.9,Guy Ritchie,Will Smith,"271,043",183000000,1,7
512,The Lion King,118,Animation,6.8,Jon Favreau,Donald Glover,"249,405",260000000,1,7
513,Speak No Evil,97,Drama,6.6,Christian Tafdrup,Morten Burian,"23,141",3000000,0,7
514,The Longest Yard,113,Comedy,6.4,Peter Segal,Adam Sandler,"183,713",82000000,1,6
515,Captain America: Civil War,147,Action,7.8,Anthony Russo,Chris Evans,"798,056",250000000,1,8
516,Revolutionary Road,119,Drama,7.3,Sam Mendes,Leonardo DiCaprio,"216,567",35000000,0,7
517,Bandit,126,Crime,6.4,Allan Ungar,Josh Duhamel,"6,565",,0,6
518,Wedding Crashers,119,Comedy,7,David Dobkin,Owen Wilson,"361,482",40000000,0,7
519,A Man Called Ove,116,Comedy,7.7,Hannes Holm,Rolf Lassgård,"59,844",50000000,0,8
520,Grown Ups,102,Comedy,5.9,Dennis Dugan,Adam Sandler,"256,804",80000000,0,6
521,Red Sparrow,140,Action,6.6,Francis Lawrence,Jennifer Lawrence,"189,943",69000000,0,7
522,Easy A,92,Comedy,7,Will Gluck,Emma Stone,"396,534",8000000,0,7
523,My Policeman,113,Drama,6.5,Michael Grandage,Harry Styles,"16,640",,0,7
524,Fifty Shades Freed,105,Drama,4.5,James Foley,Dakota Johnson,"67,863",55000000,1,5
525,El Camino: A Breaking Bad Movie,122,Action,7.3,Vince Gilligan,Aaron Paul,"258,463",6000000,1,7
526,Beautiful Boy,120,Biography,7.3,Felix van Groeningen,Steve Carell,"82,495",25000000,0,7
527,Children of Men,109,Action,7.9,Alfonso Cuarón,Julianne Moore,"506,012",76000000,0,8
528,The Power of the Dog,126,Drama,6.8,Jane Campion,Benedict Cumberbatch,"178,956",37000000,0,7
529,This Is the End,107,Comedy,6.6,Evan Goldberg,James Franco,"417,990",32000000,0,7
530,Jennifer's Body,102,Comedy,5.4,Karyn Kusama,Megan Fox,"138,896",16000000,0,5
531,Eat Pray Love,133,Biography,5.8,Ryan Murphy,Julia Roberts,"99,747",60000000,0,6
