,Title,Runtime.x,Rating.x,Director.x,Lead.x,Votes.x,Budget,Sequel,Rounded,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical
84,Viking Wolf,97,5.1,Stig Svendsen,Liv Mjönes,127,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Nobody,92,7.4,Ilya Naishuller,Bob Odenkirk,85,16000000,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,The Black Phone,103,6.9,Scott Derrickson,Mason Thames,49,18000000,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
87,The Gray Man,122,6.5,Anthony Russo,Ryan Gosling,65,200000000,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Rosaline,95,6.4,Karen Maine,Kaitlyn Dever,214,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Midsommar,148,7.1,Ari Aster,Florence Pugh,108,9000000,0,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90,Infinite,106,5.4,Antoine Fuqua,Mark Wahlberg,162,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Edge of Tomorrow,113,7.9,Doug Liman,Tom Cruise,210,178000000,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,Vengeance,107,6.8,B.J. Novak,B.J. Novak,79,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Harry Potter and the Goblet of Fire,157,7.7,Mike Newell,Daniel Radcliffe,193,150000000,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
94,Blonde,167,5.5,Andrew Dominik,Ana de Armas,185,22000000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
95,Parasite,132,8.5,Bong Joon Ho,Song Kang-ho,234,11400000,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,Decision to Leave,139,7.3,Park Chan-wook,Park Hae-il,105,10000000,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
97,The Gentlemen,113,7.8,Guy Ritchie,Matthew McConaughey,113,22000000,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,Irreversible,97,7.3,Gaspar Noé,Monica Bellucci,37,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Blade Runner 2049,164,8,Denis Villeneuve,Harrison Ford,177,150000000,1,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,Don't Look Up,138,7.2,Adam McKay,Leonardo DiCaprio,166,75000000,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,La La Land,128,8,Damien Chazelle,Ryan Gosling,187,30000000,0,8,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Fifty Shades of Grey,125,4.2,Sam Taylor-Johnson,Dakota Johnson,102,40000000,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
103,Inglourious Basterds,153,8.3,Quentin Tarantino,Brad Pitt,14,70000000,0,8,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Django Unchained,165,8.4,Quentin Tarantino,Jamie Foxx,15,100000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,Eternal Sunshine of the Spotless Mind,108,8.3,Michel Gondry,Jim Carrey,2,20000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
106,Harry Potter and the Prisoner of Azkaban,142,7.9,Alfonso Cuarón,Daniel Radcliffe,195,130000000,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,Living,102,7.5,Oliver Hermanus,Bill Nighy,128,NA,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2 Guns,109,6.7,Baltasar Kormákur,Denzel Washington,69,61000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Girl in the Basement,88,6.3,Elisabeth Röhm,Judd Nelson,229,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Harry Potter and the Deathly Hallows: Part 2,130,8.1,David Yates,Daniel Radcliffe,238,125000000,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
111,Narvik: Hitler's First Defeat,108,6.6,Erik Skjoldbjærg,Billy Campbell,240,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Violent Night,112,6.7,Tommy Wirkola,David Harbour,190,8000000,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,Scott Pilgrim vs. the World,112,7.5,Edgar Wright,Michael Cera,140,33281690,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Harry Potter and the Chamber of Secrets,161,7.4,Chris Columbus,Daniel Radcliffe,198,100000000,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Guardians of the Galaxy,121,8,James Gunn,Chris Pratt,7,170000000,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Puss in Boots,90,6.6,Chris Miller,Antonio Banderas,55,130000000,0,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Prisoners,153,8.1,Denis Villeneuve,Hugh Jackman,218,46000000,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
118,The Suicide Squad,132,7.2,James Gunn,Margot Robbie,119,185000000,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Pride & Prejudice,129,7.8,Joe Wright,Keira Knightley,97,28000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
120,Birdman or (The Unexpected Virtue of Ignorance),119,7.7,Alejandro G. Iñárritu,Michael Keaton,194,18000000,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Doctor Strange in the Multiverse of Madness,126,6.9,Sam Raimi,Benedict Cumberbatch,139,200000000,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,Beast,93,5.6,Baltasar Kormákur,Liyabuya Gongo,88,36000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Strange World,102,5.6,Don Hall,Jake Gyllenhaal,114,120000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Gone Girl,149,8.1,David Fincher,Ben Affleck,248,61000000,0,8,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
125,Uncharted,116,6.3,Ruben Fleischer,Tom Holland,73,120000000,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Catch Me If You Can,141,8.1,Steven Spielberg,Leonardo DiCaprio,249,52000000,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
127,Hidden Figures,127,7.8,Theodore Melfi,Taraji P. Henson,80,25000000,0,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
128,Fantastic Beasts: The Secrets of Dumbledore,142,6.2,David Yates,Eddie Redmayne,44,200000000,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,This Is 40,134,6.2,Judd Apatow,Paul Rudd,42,35000000,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Shutter Island,138,8.2,Martin Scorsese,Leonardo DiCaprio,10,80000000,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
131,About Time,123,7.8,Richard Curtis,Domhnall Gleeson,118,12000000,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Piggy,99,6.2,Carlota Pereda,Laura Galán,182,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,The Beasts,137,7.5,Rodrigo Sorogoyen,Marina Foïs,183,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,Encanto,102,7.2,Jared Bush,Stephanie Beatriz,77,50000000,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
135,Superbad,113,7.6,Greg Mottola,Michael Cera,178,20000000,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Creed,133,7.6,Ryan Coogler,Michael B. Jordan,87,35000000,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,Eternals,156,6.3,Chloé Zhao,Gemma Chan,113,200000000,0,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,The Lord of the Rings: The Return of the King,201,9,Peter Jackson,Elijah Wood,18,94000000,1,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,No Time to Die,163,7.3,Cary Joji Fukunaga,Daniel Craig,133,250000000,0,7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,Death on the Nile,127,6.3,Kenneth Branagh,Tom Bateman,51,90000000,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
141,She Said,129,7.2,Maria Schrader,Lola Petticrew,66,32000000,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,Get Out,104,7.7,Jordan Peele,Daniel Kaluuya,192,4500000,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
143,The Prestige,130,8.5,Christopher Nolan,Christian Bale,12,40000000,0,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
144,Lady Chatterley's Lover,126,6.6,Laure de Clermont-Tonnerre,Emma Corrin,52,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Jeepers Creepers: Reborn,88,2.5,Timo Vuorensola,Sydney Craven,243,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,Pleasure,109,6.4,Ninja Thyberg,Sofia Kappel,58,2000000,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,The Founder,115,7.2,John Lee Hancock,Michael Keaton,50,25000000,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Causeway,94,6.6,Lila Neugebauer,Jennifer Lawrence,39,NA,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Old,108,5.8,M. Night Shyamalan,Gael García Bernal,31,18000000,0,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
150,Terrifier 2,138,6.2,Damien Leone,Lauren LaVera,91,250000,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,No Country for Old Men,122,8.2,Ethan Coen,Tommy Lee Jones,247,25000000,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
152,Tenet,150,7.3,Christopher Nolan,John David Washington,160,250000000,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
