Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
114,Little Women,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Greta Gerwig,Saoirse Ronan,"214,541"
115,Terrifier 2,138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2,Damien Leone,Lauren LaVera,"30,832"
116,The Hunger Games: Mockingjay - Part 1,123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6,Francis Lawrence,Jennifer Lawrence,"465,492"
117,"Three Billboards Outside Ebbing, Missouri",115,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.1,Martin McDonagh,Frances McDormand,"519,615"
118,1917,119,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Sam Mendes,Dean-Charles Chapman,"609,357"
119,Pirates of the Caribbean: The Curse of the Black Pearl,143,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1,Gore Verbinski,Johnny Depp,"1,142,671"
120,No Time to Die,163,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,Cary Joji Fukunaga,Daniel Craig,"412,439"
121,Don't Look Up,138,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,Adam McKay,Leonardo DiCaprio,"549,853"
122,The Black Phone,103,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6.9,Scott Derrickson,Mason Thames,"157,553"
123,La La Land,128,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Damien Chazelle,Ryan Gosling,"606,084"
124,Mad Max: Fury Road,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,George Miller,Tom Hardy,"1,018,974"
125,The Shape of Water,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.3,Guillermo del Toro,Sally Hawkins,"428,506"
126,The Prestige,130,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8.5,Christopher Nolan,Christian Bale,"1,350,875"
127,Hereditary,127,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,Ari Aster,Toni Collette,"332,796"
128,Devotion,139,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,J.D. Dillard,Jonathan Majors,"18,346"
129,Shang-Chi and the Legend of the Ten Rings,132,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.4,Destin Daniel Cretton,Simu Liu,"394,083"
130,Crash,112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.7,Paul Haggis,Don Cheadle,"440,589"
131,Magic Mike,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Steven Soderbergh,Channing Tatum,"142,967"
132,Zack Snyder's Justice League,242,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Zack Snyder,Henry Cavill,"406,924"
133,Rocky Balboa,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Sylvester Stallone,Sylvester Stallone,"221,971"
134,Tenet,150,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.3,Christopher Nolan,John David Washington,"521,383"
135,The Fallout,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Megan Park,Jenna Ortega,"25,743"
136,Uncharted,116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Ruben Fleischer,Tom Holland,"221,461"
